Priority,Category,Task,URL,Instruction,Importance
1,Custom Advent Calendar Boxes,Create/optimize main landing page,/custom-advent-calendar-boxes/,H1 + SEO title + meta + content + CTA,High
1,Custom Advent Calendar Boxes,Add 6–10 product cards,/custom-advent-calendar-boxes/,Product title must include Custom/Manufacturer/Packaging terms where natural,High
1,Custom Advent Calendar Boxes,Add FAQ block,/custom-advent-calendar-boxes/,"MOQ, sampling, inserts, lead time, materials, artwork, wholesale order",High
1,Custom Advent Calendar Boxes,Add internal links,/custom-advent-calendar-boxes/,"Link to products, applications, blog articles and contact page",High
2,Cosmetic & Beauty Gift Set Packaging,Create/optimize main landing page,/custom-cosmetic-gift-boxes/,H1 + SEO title + meta + content + CTA,High
2,Cosmetic & Beauty Gift Set Packaging,Add 6–10 product cards,/custom-cosmetic-gift-boxes/,Product title must include Custom/Manufacturer/Packaging terms where natural,High
2,Cosmetic & Beauty Gift Set Packaging,Add FAQ block,/custom-cosmetic-gift-boxes/,"MOQ, sampling, inserts, lead time, materials, artwork, wholesale order",High
2,Cosmetic & Beauty Gift Set Packaging,Add internal links,/custom-cosmetic-gift-boxes/,"Link to products, applications, blog articles and contact page",High
3,Chocolate & Dessert Gift Boxes,Create/optimize main landing page,/custom-chocolate-dessert-gift-boxes/,H1 + SEO title + meta + content + CTA,High
3,Chocolate & Dessert Gift Boxes,Add 6–10 product cards,/custom-chocolate-dessert-gift-boxes/,Product title must include Custom/Manufacturer/Packaging terms where natural,High
3,Chocolate & Dessert Gift Boxes,Add FAQ block,/custom-chocolate-dessert-gift-boxes/,"MOQ, sampling, inserts, lead time, materials, artwork, wholesale order",High
3,Chocolate & Dessert Gift Boxes,Add internal links,/custom-chocolate-dessert-gift-boxes/,"Link to products, applications, blog articles and contact page",High
4,"Interactive Video, Music & LED Packaging",Create/optimize main landing page,/custom-interactive-packaging-boxes/,H1 + SEO title + meta + content + CTA,High
4,"Interactive Video, Music & LED Packaging",Add 6–10 product cards,/custom-interactive-packaging-boxes/,Product title must include Custom/Manufacturer/Packaging terms where natural,High
4,"Interactive Video, Music & LED Packaging",Add FAQ block,/custom-interactive-packaging-boxes/,"MOQ, sampling, inserts, lead time, materials, artwork, wholesale order",High
4,"Interactive Video, Music & LED Packaging",Add internal links,/custom-interactive-packaging-boxes/,"Link to products, applications, blog articles and contact page",High
5,Wine & Liquor Gift Boxes,Create/optimize main landing page,/custom-wine-boxes/,H1 + SEO title + meta + content + CTA,High
5,Wine & Liquor Gift Boxes,Add 6–10 product cards,/custom-wine-boxes/,Product title must include Custom/Manufacturer/Packaging terms where natural,High
5,Wine & Liquor Gift Boxes,Add FAQ block,/custom-wine-boxes/,"MOQ, sampling, inserts, lead time, materials, artwork, wholesale order",High
5,Wine & Liquor Gift Boxes,Add internal links,/custom-wine-boxes/,"Link to products, applications, blog articles and contact page",High
