Pillar,Parent Category,Page / Subcategory,Recommended URL Slug,Priority,Main SEO Target
Products,,Advent Calendar Boxes,/products/advent-calendar-boxes/,P1,custom advent calendar boxes
Products,Advent Calendar Boxes,Beauty Advent Calendar Boxes,/products/advent-calendar-boxes/beauty-advent-calendar-boxes/,P2,beauty advent calendar boxes
Products,Advent Calendar Boxes,Perfume Advent Calendar Boxes,/products/advent-calendar-boxes/perfume-advent-calendar-boxes/,P2,perfume advent calendar boxes
Products,Advent Calendar Boxes,Christmas Advent Calendar Boxes,/products/advent-calendar-boxes/christmas-advent-calendar-boxes/,P2,christmas advent calendar boxes
Products,Advent Calendar Boxes,Ramadan Advent Calendar Boxes,/products/advent-calendar-boxes/ramadan-advent-calendar-boxes/,P2,ramadan advent calendar boxes
Products,Advent Calendar Boxes,Jewelry Advent Calendar Boxes,/products/advent-calendar-boxes/jewelry-advent-calendar-boxes/,P2,jewelry advent calendar boxes
Products,Advent Calendar Boxes,Chocolate & Food Advent Calendar Boxes,/products/advent-calendar-boxes/chocolate-food-advent-calendar-boxes/,P2,chocolate & food advent calendar boxes
Products,Advent Calendar Boxes,Custom Shape Advent Calendar Boxes,/products/advent-calendar-boxes/custom-shape-advent-calendar-boxes/,P2,custom shape advent calendar boxes
Products,Advent Calendar Boxes,Advent Calendar Gift Set,/products/advent-calendar-boxes/advent-calendar-gift-set/,P1,advent calendar gift set
Products,,Perfume Packaging,/products/perfume-packaging/,P1,custom perfume packaging
Products,Perfume Packaging,Perfume Gift Boxes,/products/perfume-packaging/perfume-gift-boxes/,P2,perfume gift boxes
Products,Perfume Packaging,Perfume Set Boxes,/products/perfume-packaging/perfume-set-boxes/,P2,perfume set boxes
Products,Perfume Packaging,Perfume Sample Boxes,/products/perfume-packaging/perfume-sample-boxes/,P2,perfume sample boxes
Products,Perfume Packaging,Perfume Discovery Set Boxes,/products/perfume-packaging/perfume-discovery-set-boxes/,P2,perfume discovery set boxes
Products,Perfume Packaging,Luxury Perfume Packaging,/products/perfume-packaging/luxury-perfume-packaging/,P2,luxury perfume packaging
Products,Perfume Packaging,Perfume Advent Calendar Boxes,/products/perfume-packaging/perfume-advent-calendar-boxes/,P2,perfume advent calendar boxes
Products,,Cosmetic Packaging,/products/cosmetic-packaging/,P1,custom cosmetic packaging
Products,Cosmetic Packaging,Skincare Gift Boxes,/products/cosmetic-packaging/skincare-gift-boxes/,P2,skincare gift boxes
Products,Cosmetic Packaging,Makeup Gift Boxes,/products/cosmetic-packaging/makeup-gift-boxes/,P2,makeup gift boxes
Products,Cosmetic Packaging,Cosmetic Set Boxes,/products/cosmetic-packaging/cosmetic-set-boxes/,P2,cosmetic set boxes
Products,Cosmetic Packaging,Beauty PR Boxes,/products/cosmetic-packaging/beauty-pr-boxes/,P2,beauty pr boxes
Products,Cosmetic Packaging,Lipstick & Lip Gloss Packaging,/products/cosmetic-packaging/lipstick-and-lip-gloss-packaging/,P2,lipstick & lip gloss packaging
Products,Cosmetic Packaging,Cream & Serum Packaging,/products/cosmetic-packaging/cream-and-serum-packaging/,P2,cream & serum packaging
Products,,Luxury Gift Boxes,/products/luxury-gift-boxes/,P2,custom luxury gift boxes
Products,Luxury Gift Boxes,Magnetic Gift Boxes,/products/luxury-gift-boxes/magnetic-gift-boxes/,P2,magnetic gift boxes
Products,Luxury Gift Boxes,Drawer Gift Boxes,/products/luxury-gift-boxes/drawer-gift-boxes/,P2,drawer gift boxes
Products,Luxury Gift Boxes,Foldable Rigid Boxes,/products/luxury-gift-boxes/foldable-rigid-boxes/,P2,foldable rigid boxes
Products,Luxury Gift Boxes,Lid and Base Boxes,/products/luxury-gift-boxes/lid-and-base-boxes/,P2,lid and base boxes
Products,Luxury Gift Boxes,Book Style Boxes,/products/luxury-gift-boxes/book-style-boxes/,P2,book style boxes
Products,Luxury Gift Boxes,Round Gift Boxes,/products/luxury-gift-boxes/round-gift-boxes/,P2,round gift boxes
Products,Luxury Gift Boxes,Custom Shape Boxes,/products/luxury-gift-boxes/custom-shape-boxes/,P2,custom shape boxes
Products,,Interactive Packaging,/products/interactive-packaging/,P1,custom interactive packaging
Products,Interactive Packaging,Music Box Packaging,/products/interactive-packaging/music-box-packaging/,P2,music box packaging
Products,Interactive Packaging,Video Box Packaging,/products/interactive-packaging/video-box-packaging/,P2,video box packaging
Products,Interactive Packaging,LED Light-Up Gift Boxes,/products/interactive-packaging/led-light-up-gift-boxes/,P2,led light-up gift boxes
Products,Interactive Packaging,Sound & Light Gift Boxes,/products/interactive-packaging/sound-and-light-gift-boxes/,P2,sound & light gift boxes
Products,Interactive Packaging,Interactive Advent Calendar Boxes,/products/interactive-packaging/interactive-advent-calendar-boxes/,P2,interactive advent calendar boxes
Products,Interactive Packaging,Interactive PR Boxes,/products/interactive-packaging/interactive-pr-boxes/,P2,interactive pr boxes
Products,,Keepsake Boxes,/products/keepsake-boxes/,P2,custom keepsake boxes
Products,Keepsake Boxes,Baby Keepsake Boxes,/products/keepsake-boxes/baby-keepsake-boxes/,P2,baby keepsake boxes
Products,Keepsake Boxes,Wedding Keepsake Boxes,/products/keepsake-boxes/wedding-keepsake-boxes/,P2,wedding keepsake boxes
Products,Keepsake Boxes,Graduation Keepsake Boxes,/products/keepsake-boxes/graduation-keepsake-boxes/,P2,graduation keepsake boxes
