Product ID,Product Name,Current Category,Subcategory,Application Tags,Holiday Tags,Source File
"AC-001","White Luxury Drawer Advent Calendar Box","Advent Calendar Boxes","Beauty Advent Calendar Boxes; Advent Calendar Gift Set","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-001_white-luxury-drawer-advent-calendar-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
"AC-002","Dark Green Premium Advent Calendar Gift Set Box","Advent Calendar Boxes","Beauty Advent Calendar Boxes; Gift Set Calendar","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-002_dark-green-premium-advent-calendar-gift-set-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
"AC-005","Pink Nutcracker Advent Calendar Box","Advent Calendar Boxes","Christmas Advent Calendar Boxes; Beauty Calendar","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-005_pink-nutcracker-advent-calendar-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
